,Unnamed: 0,site,product_group,bl_number,ship_to_customer,ship_to_city,state,net_pick_weight,total_number_of_pallet,lat,lng,coordinates,cluster
0,0,AMJK,SW,W44A387,LINEAGE LOGISTICS LLC,DOTHAN,AL,3301,3,31.2336,-85.407,"(31.2336, -85.407)",0
1,1,AMJK,SW,W43A800,SIGMA SUPPLY OF NORTH AMERICA,HOT SPRINGS,AR,17280,10,34.4892,-93.0501,"(34.4892, -93.0501)",1
2,2,AMJK,SW,W44A283,MID VALLEY PACKAGING & SUPPLY CO.,FOWLER,CA,6400,5,36.6243,-119.6737,"(36.6243, -119.6737)",2
3,3,AMJK,SW,W44A478,RENEW PACKAGING SOULTIONS (RIVER CITY),RANCHO CORDOVA,CA,43336,37,38.5737,-121.2527,"(38.5737, -121.2527)",3
4,4,AMJK,SW,W44A458,PEMKO MFG CO,VENTURA,CA,2560,2,34.274647,-119.229034,"(34.274647, -119.229034)",4
5,5,AMJK,SW,W43B191,KELLY SPICERS,WALNUT,CA,3992,4,34.0334,-117.8593,"(34.0334, -117.8593)",5
7,7,AMJK,SW,W44A425,NEW HAVEN MOVING EQUIPMENT OF DENVER,DENVER,CO,12237,8,39.762,-104.8758,"(39.762, -104.8758)",6
8,8,AMJK,SW,W44A359,LINEAGE LOGISTICS LLC,WINDSOR,CO,6820,8,40.469,-104.9198,"(40.469, -104.9198)",6
6,6,AMJK,SW,W43C090,NEWAY PACKAGING,COMMERCE CITY,CO,6779,5,39.8641,-104.843,"(39.8641, -104.843)",6
9,9,AMJK,SW,W44A351,HUB INDUSTRIAL SUPPLY,LAKE CITY,FL,8295,5,30.1901,-82.6471,"(30.1901, -82.6471)",7
10,10,AMJK,SW,W44A525,PENSKE LOGISTICS,ORLANDO,FL,2298,6,28.4773,-81.337,"(28.4773, -81.337)",8
11,11,AMJK,SW,W44A372,PANGO SALES INC,RIVERVIEW,FL,10710,9,27.8227,-82.3023,"(27.8227, -82.3023)",9
12,12,AMJK,SW,W43A966,CROWN PACKAGING,BUFORD,GA,13505,10,34.1192,-83.9903,"(34.1192, -83.9903)",10
14,14,AMJK,SW,W43A867,SOUTHEASTERN PAPER GROUP - ATLANTA,COLLEGE PARK,GA,8934,6,33.6363,-84.464,"(33.6363, -84.464)",10
13,13,AMJK,SW,W44A528,IRA HIGDON GROCERY,CAIRO,GA,7518,6,30.879,-84.205,"(30.879, -84.205)",11
15,15,AMJK,SW,W42C356,PINELAND PAPER,LYONS,GA,7860,5,32.2062,-82.3215,"(32.2062, -82.3215)",12
16,16,AMJK,SW,W43C565,PAPER PACK,ROME,GA,1260,1,34.2662,-85.1863,"(34.2662, -85.1863)",13
17,17,AMJK,SW,W43C147,ERNEST PACKAGING SOLUTIONS - NAMPA,NAMPA,ID,14806,10,43.5844,-116.5638,"(43.5844, -116.5638)",14
18,18,AMJK,SW,W44A362,THE ROYAL GROUP,CICERO,IL,13860,11,41.8445,-87.7593,"(41.8445, -87.7593)",15
19,19,AMJK,SW,W44A332,NICHOLS - [INDIANAPOLIS],BROWNSBURG,IN,5100,10,39.8337,-86.383,"(39.8337, -86.383)",16
20,20,AMJK,SW,W44A397,ASSOCIATED PACKAGING INC,LOUISVILLE,KY,3830,10,38.1663,-85.6485,"(38.1663, -85.6485)",17
21,21,AMJK,SW,W42B205,DETROIT PACKAGING CO,DETROIT,MI,11520,10,42.3834,-83.1024,"(42.3834, -83.1024)",18
22,22,AMJK,SW,W43A216,NICHOLS-MEIJER,NORTON SHORES,MI,2894,2,43.1621,-86.2519,"(43.1621, -86.2519)",19
23,23,AMJK,SW,W44A511,100 ANOVA FURNISHINGS,WINONA,MN,1659,1,44.0505,-91.6684,"(44.0505, -91.6684)",20
24,24,AMJK,SW,W44A386,CUSTOMIZED DISTRIBUTION LLC,JACKSON,MS,5100,10,32.3157,-90.2125,"(32.3157, -90.2125)",21
25,25,AMJK,SW,W43C036,INNPACK LLC,OLIVE BRANCH,MS,11045,8,34.961,-89.8469,"(34.961, -89.8469)",22
31,31,AMJK,SW,W43C726,ASSOCIATED PACKAGING-GALLATIN,MEMPHIS,TN,10240,8,35.1087,-89.9663,"(35.1087, -89.9663)",22
26,26,AMJK,SW,W43A768,INDUSTRIAL FAIRWAY SUPPLY COMPANY,FARGO,ND,17615,14,46.8651,-96.8292,"(46.8651, -96.8292)",23
27,27,AMJK,SW,W43B649,FORD STORAGE,LA VISTA,NE,13240,10,41.1816,-96.0664,"(41.1816, -96.0664)",24
28,28,AMJK,SW,W44A519,PREFERRED PLASTICS AND PACKAGING,MORRISTOWN,NJ,6400,5,40.7967,-74.4772,"(40.7967, -74.4772)",25
29,29,AMJK,SW,W44A177,NORTH SHORE STRAPPING CO.,BROOKLYN HEIGHTS,OH,15072,10,41.418,-81.6681,"(41.418, -81.6681)",26
30,30,AMJK,SW,W44A030,CROWN PACKAGING - WACO WAREHOUSE,TROY,OH,4964,4,40.0437,-84.2186,"(40.0437, -84.2186)",27
32,32,AMJK,SW,W44A068,ABILENE,ABILENE,TX,15396,10,32.4543,-99.7384,"(32.4543, -99.7384)",28
33,33,AMJK,SW,W44A325,LEGACY PAPER AND PACKAGING,HOUSTON,TX,15002,19,29.786,-95.3885,"(29.786, -95.3885)",29
34,34,AMJK,SW,W44A151,"ZADOK SUPPLY, LLC",KELLER,TX,11766,14,32.9335,-97.2256,"(32.9335, -97.2256)",30
35,35,AMJK,SW,W43A968,HESSEN FORWARDING LTD,LAREDO,TX,11820,10,27.5625,-99.4874,"(27.5625, -99.4874)",31
36,36,AMJK,SW,W44A236,ECOBOX - SAN ANTONIO,SAN ANTONIO,TX,3318,2,29.4632,-98.5238,"(29.4632, -98.5238)",32
